Ticker,n_fast,n_slow,Train_Return[%],Train_Sharpe,Train_MaxDD[%],Train_Trades,Test_Return[%],Test_Sharpe,Test_MaxDD[%],Test_Trades
ABBV,20,100,18.034470833711094,0.11354156168061848,-41.151012184974014,21,8.542140019520977,0.15125058192663537,-24.21053566246484,8
ABBV,20,150,-8.190805482805917,-0.06046251924163168,-47.264422262574115,18,29.386329877411665,0.4495115525534637,-22.61425453131879,7
ABBV,20,200,38.343907548285,0.2251300944705927,-31.499712031196793,15,34.30762776300742,0.5042149131797498,-24.944439401227612,6
ABBV,30,50,35.390906747234766,0.2010218156005156,-40.57485298799528,41,-15.627177250966797,-0.3354666284007054,-33.535308797144516,21
ABBV,30,100,20.198512443387717,0.13022145267694166,-36.57946245773566,19,9.224174416728657,0.16232047001375363,-24.914419507736984,8
ABBV,30,150,-8.169453048729393,-0.06064523908001875,-44.66012275384615,16,40.395556238133665,0.5784501852610284,-21.572299118900318,6
ABBV,30,200,45.94125758415905,0.2636186646312466,-28.46131789099573,13,29.424161807798722,0.4397422840174812,-26.45659387081033,7
ABBV,50,100,31.292111194243553,0.1947174979283088,-40.39469857180473,21,28.97819605121904,0.44317778919391304,-18.905540480412817,9
ABBV,50,150,4.959708033914121,0.03352714206755425,-39.87923730342023,16,40.16900615323829,0.5602831417642049,-22.23436540387118,7
ABBV,50,200,79.09025859658072,0.4099640703103605,-27.282460132553176,11,63.11514249936289,0.7865276132560295,-20.616790885631698,5
ABBV,100,150,23.969320825857356,0.14897523184029807,-30.12442416672202,17,37.89681878652061,0.5331818359081172,-20.976952595265697,6
ABBV,100,200,39.44354797999418,0.22926760127646614,-29.96816714997386,12,63.64693745969511,0.8333233221879766,-20.56471154166597,4
ABBV,150,200,34.01797596943245,0.19913625751845943,-33.40278012825739,15,65.45968264700383,0.8452719558789795,-20.58823928420912,6
ADBE,5,10,-95.51604303173379,-0.7504423738902595,-96.4209962993021,422,-73.64112560638434,-0.8555881638566635,-78.87852713664111,190
ADBE,5,20,-97.8917847898111,-0.9663934216592696,-98.16523311806714,264,-74.59842504531859,-0.8858242783020474,-78.5362666662723,115
ADBE,5,30,-95.71129711255224,-0.807355995185788,-96.76773616752868,211,-60.9867070233155,-0.5948304113665651,-69.61050749401888,86
ADBE,5,50,-85.69063816987259,-0.465876789761769,-90.22411809908186,159,-50.82391913131708,-0.4352258571474429,-61.10529291413806,60
ADBE,5,100,-57.621402898260044,-0.21444529280516503,-72.3672890086775,104,-47.60332843475335,-0.4057990068887531,-58.229630465830006,43
ADBE,5,150,-29.17940544528101,-0.08541848256205466,-64.16340709344115,73,-38.65785451217657,-0.3047609573884353,-54.6798029266146,38
ADBE,5,200,-41.713441754261204,-0.13369226160042197,-71.69636694351283,64,-40.379874616546715,-0.32310955978478456,-58.678294027990276,23
ADBE,10,20,-95.88445613413276,-0.7789877737181512,-96.9270608931595,231,-53.5714131172181,-0.458573426632782,-64.31262762477783,104
ADBE,10,30,-91.47726778692058,-0.6045890682268219,-94.37490459043808,162,-41.98703452896112,-0.3345474443914029,-58.56577714686162,65
ADBE,10,50,-79.25713884645718,-0.3793824897319544,-88.4290777117452,113,-30.247691015624966,-0.21547336377205814,-51.42134399682943,48
